image_name,anchor_1,anchor_2,anchor_3,anchor_4,skew_angle,Warnings
BE24-05-02001.jpg,"[80, 295]","[1575, 290]","[81, 2221]","[1576, 2236]",-0.1916,
BE24-05-02002.jpg,"[80, 290]","[1576, 283]","[81, 2215]","[1578, 2228]",-0.2681,
BE24-05-02003.jpg,"[80, 285]","[1575, 279]","[80, 2210]","[1576, 2227]",-0.2299,
BE24-05-02004.jpg,"[81, 293]","[1576, 288]","[82, 2217]","[1577, 2233]",-0.1916,
BE24-05-02005.jpg,"[81, 286]","[1575, 280]","[82, 2214]","[1576, 2229]",-0.2301,
BE24-05-02006.jpg,"[81, 291]","[1576, 286]","[82, 2217]","[1577, 2229]",-0.1916,
BE24-05-02007.jpg,"[83, 290]","[1578, 287]","[81, 2216]","[1576, 2231]",-0.115,
BE24-05-02008.jpg,"[81, 286]","[1576, 281]","[81, 2212]","[1577, 2227]",-0.1916,
BE24-05-02009.jpg,"[82, 286]","[1574, 282]","[82, 2213]","[1575, 2227]",-0.1536,
BE24-05-02010.jpg,"[81, 284]","[1576, 280]","[81, 2211]","[1577, 2224]",-0.1533,
BE24-05-02011.jpg,"[81, 286]","[1577, 283]","[82, 2213]","[1577, 2226]",-0.1149,
BE24-05-02012.jpg,"[82, 285]","[1575, 280]","[83, 2210]","[1577, 2225]",-0.1919,
BE24-05-02013.jpg,"[81, 284]","[1575, 280]","[81, 2209]","[1576, 2224]",-0.1534,
BE24-05-02014.jpg,"[81, 285]","[1575, 281]","[82, 2213]","[1577, 2226]",-0.1534,
BE24-05-02015.jpg,"[81, 283]","[1575, 278]","[82, 2210]","[1577, 2222]",-0.1918,
BE24-05-02016.jpg,"[81, 284]","[1574, 279]","[81, 2210]","[1575, 2224]",-0.1919,
BE24-05-02017.jpg,"[82, 287]","[1578, 284]","[82, 2212]","[1577, 2226]",-0.1149,
BE24-05-02018.jpg,"[81, 287]","[1576, 283]","[81, 2214]","[1577, 2228]",-0.1533,
BE24-05-02019.jpg,"[81, 285]","[1576, 282]","[80, 2210]","[1576, 2224]",-0.115,
BE24-05-02020.jpg,"[82, 281]","[1575, 277]","[83, 2207]","[1577, 2218]",-0.1535,
BE24-05-02021.jpg,"[81, 288]","[1577, 283]","[81, 2215]","[1577, 2230]",-0.1915,
BE24-05-02022.jpg,"[79, 285]","[1575, 278]","[82, 2212]","[1578, 2225]",-0.2681,
BE24-05-02023.jpg,"[80, 284]","[1576, 279]","[80, 2212]","[1577, 2226]",-0.1915,
BE24-05-02024.jpg,"[80, 285]","[1578, 278]","[81, 2208]","[1579, 2221]",-0.2677,
BE24-05-02025.jpg,"[82, 286]","[1577, 282]","[80, 2213]","[1576, 2227]",-0.1533,
BE24-05-02026.jpg,"[81, 286]","[1578, 280]","[81, 2213]","[1579, 2226]",-0.2296,
BE24-05-02027.jpg,"[83, 286]","[1576, 281]","[81, 2212]","[1575, 2229]",-0.1919,
BE24-05-02028.jpg,"[79, 285]","[1575, 278]","[81, 2208]","[1577, 2221]",-0.2681,
BE24-05-02029.jpg,"[82, 288]","[1577, 285]","[80, 2219]","[1576, 2234]",-0.115,
BE24-05-02030.jpg,"[82, 288]","[1577, 282]","[83, 2220]","[1579, 2233]",-0.2299,
BE24-05-02031.jpg,"[82, 291]","[1578, 287]","[80, 2221]","[1577, 2236]",-0.1532,
BE24-05-02032.jpg,"[83, 291]","[1578, 286]","[82, 2223]","[1578, 2239]",-0.1916,
BE24-05-02033.jpg,"[83, 289]","[1578, 285]","[81, 2220]","[1577, 2236]",-0.1533,
BE24-05-02034.jpg,"[84, 290]","[1580, 286]","[81, 2220]","[1578, 2237]",-0.1532,
BE24-05-02035.jpg,"[83, 286]","[1580, 282]","[81, 2218]","[1578, 2232]",-0.1531,
BE24-05-02036.jpg,"[84, 288]","[1582, 284]","[79, 2220]","[1578, 2239]",-0.153,
BE24-05-02037.jpg,"[83, 289]","[1579, 281]","[82, 2220]","[1579, 2237]",-0.3064,
BE24-05-02038.jpg,"[83, 287]","[1580, 285]","[78, 2218]","[1576, 2236]",-0.0765,
BE24-05-02039.jpg,"[83, 289]","[1580, 284]","[79, 2219]","[1576, 2236]",-0.1914,
BE24-05-02040.jpg,"[83, 290]","[1580, 284]","[80, 2221]","[1578, 2239]",-0.2296,
BE24-05-02041.jpg,"[80, 290]","[1577, 283]","[82, 2220]","[1580, 2233]",-0.2679,
BE24-05-02042.jpg,"[82, 291]","[1577, 284]","[82, 2221]","[1578, 2236]",-0.2683,
BE24-05-02043.jpg,"[83, 289]","[1581, 286]","[77, 2220]","[1575, 2239]",-0.1147,
BE24-05-02044.jpg,"[83, 294]","[1578, 287]","[82, 2222]","[1578, 2237]",-0.2683,
BE24-05-02045.jpg,"[81, 288]","[1578, 284]","[78, 2219]","[1576, 2235]",-0.1531,
BE24-05-02046.jpg,"[81, 292]","[1579, 287]","[79, 2221]","[1577, 2238]",-0.1912,
BE24-05-02047.jpg,"[82, 289]","[1577, 285]","[77, 2216]","[1574, 2234]",-0.1533,
BE24-05-02048.jpg,"[82, 292]","[1578, 291]","[76, 2220]","[1572, 2238]",-0.0383,
BE24-05-02049.jpg,"[80, 294]","[1577, 288]","[79, 2221]","[1577, 2236]",-0.2296,
BE24-05-02050.jpg,"[80, 292]","[1577, 286]","[80, 2222]","[1577, 2236]",-0.2296,
