image_name,anchor_1,anchor_2,anchor_3,anchor_4,skew_angle,Warnings
HS-SAMPLE01001.jpg,"[95, 207]","[1558, 202]","[95, 2154]","[1559, 2162]",-0.1958,
HS-SAMPLE01002.jpg,"[95, 207]","[1558, 202]","[95, 2154]","[1559, 2162]",-0.1958,
HS-SAMPLE01003.jpg,"[95, 207]","[1558, 202]","[95, 2154]","[1559, 2162]",-0.1958,
HS-SAMPLE01004.jpg,"[95, 207]","[1558, 202]","[95, 2154]","[1559, 2162]",-0.1958,
HS-SAMPLE01005.jpg,"[95, 207]","[1558, 202]","[95, 2154]","[1559, 2162]",-0.1958,
HS-SAMPLE01006.jpg,"[95, 207]","[1558, 202]","[95, 2154]","[1559, 2162]",-0.1958,
HS-SAMPLE01007.jpg,"[95, 207]","[1558, 202]","[95, 2154]","[1559, 2162]",-0.1958,
HS-SAMPLE01008.jpg,"[95, 207]","[1558, 202]","[95, 2154]","[1559, 2162]",-0.1958,
HS-SAMPLE01009.jpg,"[95, 207]","[1558, 202]","[95, 2154]","[1559, 2162]",-0.1958,
HS-SAMPLE01010.jpg,"[95, 207]","[1558, 202]","[95, 2154]","[1559, 2162]",-0.1958,
HS-SAMPLE01011.jpg,"[95, 207]","[1558, 202]","[95, 2154]","[1559, 2162]",-0.1958,
HS-SAMPLE01012.jpg,"[95, 207]","[1558, 202]","[95, 2154]","[1559, 2162]",-0.1958,
HS-SAMPLE01013.jpg,"[95, 207]","[1558, 202]","[95, 2154]","[1559, 2162]",-0.1958,
HS-SAMPLE01014.jpg,"[95, 207]","[1558, 202]","[95, 2154]","[1559, 2162]",-0.1958,
HS-SAMPLE01015.jpg,"[95, 207]","[1558, 202]","[95, 2154]","[1559, 2162]",-0.1958,
HS-SAMPLE01016.jpg,"[95, 207]","[1558, 202]","[95, 2154]","[1559, 2162]",-0.1958,
HS-SAMPLE01017.jpg,"[95, 207]","[1558, 202]","[95, 2154]","[1559, 2162]",-0.1958,
HS-SAMPLE01018.jpg,"[95, 207]","[1558, 202]","[95, 2154]","[1559, 2162]",-0.1958,
HS-SAMPLE01019.jpg,"[95, 207]","[1558, 202]","[95, 2154]","[1559, 2162]",-0.1958,
HS-SAMPLE01020.jpg,"[95, 207]","[1558, 202]","[95, 2154]","[1559, 2162]",-0.1958,
HS-SAMPLE01021.jpg,"[95, 207]","[1558, 202]","[95, 2154]","[1559, 2162]",-0.1958,
HS-SAMPLE01022.jpg,"[95, 207]","[1558, 202]","[95, 2154]","[1559, 2162]",-0.1958,
HS-SAMPLE01023.jpg,"[95, 207]","[1558, 202]","[95, 2154]","[1559, 2162]",-0.1958,
HS-SAMPLE01024.jpg,"[95, 207]","[1558, 202]","[95, 2154]","[1559, 2162]",-0.1958,
HS-SAMPLE01025.jpg,"[95, 207]","[1558, 202]","[95, 2154]","[1559, 2162]",-0.1958,
HS-SAMPLE01026.jpg,"[95, 207]","[1558, 202]","[95, 2154]","[1559, 2162]",-0.1958,
HS-SAMPLE01027.jpg,"[95, 207]","[1558, 202]","[95, 2154]","[1559, 2162]",-0.1958,
HS-SAMPLE01028.jpg,"[95, 207]","[1558, 202]","[95, 2154]","[1559, 2162]",-0.1958,
HS-SAMPLE01029.jpg,"[95, 207]","[1558, 202]","[95, 2154]","[1559, 2162]",-0.1958,
HS-SAMPLE01030.jpg,"[95, 207]","[1558, 202]","[95, 2154]","[1559, 2162]",-0.1958,
