image_name,anchor_1,anchor_2,anchor_3,anchor_4,skew_angle,Warnings
Batch001001.jpg,"[97, 217]","[1547, 204]","[109, 2165]","[1560, 2163]",-0.5137,
Batch001002.jpg,"[98, 205]","[1561, 204]","[94, 2153]","[1558, 2164]",-0.0392,
Batch001003.jpg,"[95, 207]","[1558, 204]","[96, 2155]","[1560, 2161]",-0.1175,
Batch001004.jpg,"[99, 206]","[1562, 204]","[98, 2156]","[1562, 2164]",-0.0783,
Batch001005.jpg,"[97, 216]","[1547, 205]","[107, 2165]","[1558, 2164]",-0.4346,
Batch001006.jpg,"[96, 205]","[1559, 204]","[96, 2155]","[1560, 2162]",-0.0392,
Batch001007.jpg,"[95, 205]","[1559, 202]","[96, 2154]","[1560, 2160]",-0.1174,
Batch001008.jpg,"[101, 203]","[1564, 204]","[100, 2153]","[1563, 2161]",0.0392,
Batch001009.jpg,"[102, 199]","[1563, 202]","[99, 2153]","[1561, 2161]",0.1177,
Batch001010.jpg,"[100, 201]","[1563, 203]","[98, 2154]","[1562, 2162]",0.0783,
Batch001011.jpg,"[103, 210]","[1554, 204]","[112, 2163]","[1563, 2163]",-0.2369,
Batch001012.jpg,"[99, 212]","[1548, 204]","[110, 2165]","[1560, 2163]",-0.3163,
Batch001013.jpg,"[102, 200]","[1566, 205]","[98, 2154]","[1563, 2163]",0.1957,
Batch001014.jpg,"[104, 201]","[1563, 205]","[101, 2155]","[1560, 2163]",0.1571,
Batch001015.jpg,"[100, 204]","[1563, 203]","[99, 2155]","[1563, 2161]",-0.0392,
Batch001016.jpg,"[99, 204]","[1563, 203]","[98, 2156]","[1563, 2163]",-0.0391,
Batch001017.jpg,"[99, 206]","[1563, 205]","[99, 2155]","[1563, 2162]",-0.0391,
Batch001018.jpg,"[101, 216]","[1551, 207]","[113, 2166]","[1563, 2164]",-0.3556,
Batch001019.jpg,"[101, 196]","[1560, 200]","[94, 2144]","[1554, 2157]",0.1571,
Batch001020.jpg,"[98, 205]","[1561, 205]","[98, 2157]","[1561, 2164]",0.0,
Batch001021.jpg,"[99, 206]","[1561, 205]","[100, 2157]","[1563, 2164]",-0.0392,
Batch001022.jpg,"[116, 200]","[1569, 210]","[98, 2142]","[1550, 2164]",0.3943,
Batch001023.jpg,"[100, 206]","[1564, 204]","[100, 2156]","[1564, 2163]",-0.0783,
Batch001024.jpg,"[101, 206]","[1564, 206]","[100, 2158]","[1564, 2166]",0.0,
Batch001025.jpg,"[101, 205]","[1564, 205]","[99, 2155]","[1564, 2163]",0.0,
Batch001026.jpg,"[99, 208]","[1563, 206]","[100, 2159]","[1564, 2166]",-0.0783,
Batch001027.jpg,"[96, 206]","[1555, 204]","[96, 2155]","[1556, 2161]",-0.0785,
Batch001028.jpg,"[97, 207]","[1557, 204]","[97, 2154]","[1558, 2161]",-0.1177,
Batch001029.jpg,"[99, 218]","[1549, 207]","[110, 2166]","[1561, 2164]",-0.4346,
Batch001030.jpg,"[97, 202]","[1561, 201]","[98, 2158]","[1562, 2163]",-0.0391,
