image_name,anchor_1,anchor_2,anchor_3,anchor_4,skew_angle,Warnings
BATCH06001.jpg,"[91, 214]","[1555, 204]","[103, 2170]","[1568, 2166]",-0.3914,
BATCH06002.jpg,"[91, 211]","[1554, 201]","[102, 2166]","[1566, 2163]",-0.3916,
BATCH06003.jpg,"[89, 211]","[1553, 201]","[102, 2167]","[1567, 2163]",-0.3914,
BATCH06004.jpg,"[91, 210]","[1555, 203]","[102, 2167]","[1566, 2165]",-0.274,
BATCH06005.jpg,"[91, 212]","[1555, 204]","[102, 2169]","[1567, 2166]",-0.3131,
BATCH06006.jpg,"[89, 210]","[1553, 202]","[100, 2168]","[1565, 2164]",-0.3131,
BATCH06007.jpg,"[87, 212]","[1550, 202]","[99, 2168]","[1564, 2165]",-0.3916,
BATCH06008.jpg,"[88, 212]","[1551, 204]","[100, 2169]","[1564, 2166]",-0.3133,
BATCH06009.jpg,"[88, 210]","[1552, 201]","[100, 2167]","[1565, 2164]",-0.3522,
BATCH06010.jpg,"[90, 208]","[1554, 202]","[100, 2166]","[1564, 2164]",-0.2348,
BATCH06011.jpg,"[86, 207]","[1550, 201]","[97, 2166]","[1562, 2162]",-0.2348,
BATCH06012.jpg,"[93, 209]","[1557, 207]","[101, 2169]","[1564, 2168]",-0.0783,
BATCH06013.jpg,"[93, 209]","[1557, 206]","[101, 2169]","[1565, 2168]",-0.1174,
BATCH06014.jpg,"[108, 205]","[1562, 215]","[103, 2153]","[1558, 2159]",0.3941,
BATCH06015.jpg,"[85, 210]","[1549, 198]","[98, 2165]","[1563, 2162]",-0.4696,
BATCH06016.jpg,"[96, 206]","[1560, 206]","[100, 2165]","[1564, 2167]",0.0,
BATCH06017.jpg,"[97, 205]","[1561, 207]","[99, 2165]","[1564, 2167]",0.0783,
BATCH06018.jpg,"[97, 209]","[1562, 209]","[101, 2169]","[1566, 2170]",0.0,
BATCH06019.jpg,"[99, 204]","[1563, 206]","[102, 2165]","[1566, 2167]",0.0783,
BATCH06020.jpg,"[100, 207]","[1564, 208]","[103, 2167]","[1568, 2170]",0.0391,
BATCH06021.jpg,"[92, 210]","[1556, 204]","[102, 2168]","[1566, 2166]",-0.2348,
BATCH06022.jpg,"[96, 206]","[1560, 207]","[100, 2166]","[1564, 2168]",0.0391,
BATCH06023.jpg,"[94, 206]","[1558, 207]","[99, 2167]","[1563, 2167]",0.0391,
BATCH06024.jpg,"[95, 205]","[1558, 208]","[96, 2166]","[1561, 2169]",0.1175,
BATCH06025.jpg,"[95, 204]","[1559, 207]","[99, 2166]","[1564, 2167]",0.1174,
BATCH06026.jpg,"[96, 207]","[1560, 205]","[101, 2166]","[1566, 2168]",-0.0783,
BATCH06027.jpg,"[90, 209]","[1555, 206]","[100, 2170]","[1564, 2168]",-0.1173,
BATCH06028.jpg,"[98, 205]","[1561, 208]","[101, 2168]","[1564, 2169]",0.1175,
BATCH06029.jpg,"[97, 209]","[1561, 208]","[103, 2172]","[1567, 2172]",-0.0391,
BATCH06030.jpg,"[99, 207]","[1562, 206]","[102, 2169]","[1567, 2170]",-0.0392,
BATCH06031.jpg,"[92, 209]","[1556, 203]","[102, 2166]","[1567, 2165]",-0.2348,
BATCH06032.jpg,"[99, 200]","[1563, 212]","[91, 2158]","[1555, 2170]",0.4696,
BATCH06033.jpg,"[102, 210]","[1556, 208]","[106, 2156]","[1561, 2156]",-0.0788,
